sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
113;BME280;45999;48.808;9.182;2023-12-24T02:30:13;97900.84;;;9.08;100.00
113;BME280;45999;48.808;9.182;2023-12-24T02:32:43;97892.72;;;9.03;100.00
113;BME280;45999;48.808;9.182;2023-12-24T02:35:10;97881.44;;;9.08;100.00
113;BME280;45999;48.808;9.182;2023-12-24T02:37:38;97911.84;;;9.05;100.00
113;BME280;45999;48.808;9.182;2023-12-24T02:40:05;97912.69;;;9.06;100.00
113;BME280;45999;48.808;9.182;2023-12-24T02:42:32;97898.81;;;9.04;100.00
113;BME280;45999;48.808;9.182;2023-12-24T02:44:58;97899.50;;;8.93;100.00
113;BME280;45999;48.808;9.182;2023-12-24T02:47:24;97900.53;;;8.92;100.00
113;BME280;45999;48.808;9.182;2023-12-24T02:49:50;97908.06;;;8.88;100.00
113;BME280;45999;48.808;9.182;2023-12-24T02:52:17;97906.25;;;8.89;100.00
113;BME280;45999;48.808;9.182;2023-12-24T02:54:43;97902.59;;;8.83;100.00
113;BME280;45999;48.808;9.182;2023-12-24T02:57:10;97907.28;;;8.88;100.00
113;BME280;45999;48.808;9.182;2023-12-24T02:59:36;97906.22;;;8.95;100.00
113;BME280;45999;48.808;9.182;2023-12-24T03:02:03;97903.34;;;8.97;100.00
113;BME280;45999;48.808;9.182;2023-12-24T03:04:29;97911.31;;;8.97;100.00
113;BME280;45999;48.808;9.182;2023-12-24T03:06:56;97902.69;;;9.01;100.00
113;BME280;45999;48.808;9.182;2023-12-24T03:09:22;97893.38;;;8.92;100.00
113;BME280;45999;48.808;9.182;2023-12-24T03:11:48;97896.44;;;8.96;100.00
113;BME280;45999;48.808;9.182;2023-12-24T03:14:15;97893.53;;;8.97;100.00
113;BME280;45999;48.808;9.182;2023-12-24T03:16:41;97888.22;;;8.97;100.00
113;BME280;45999;48.808;9.182;2023-12-24T03:19:07;97899.41;;;9.06;100.00
113;BME280;45999;48.808;9.182;2023-12-24T03:21:34;97892.09;;;9.01;100.00
113;BME280;45999;48.808;9.182;2023-12-24T03:24:00;97881.09;;;8.98;100.00
113;BME280;45999;48.808;9.182;2023-12-24T03:26:27;97889.72;;;8.93;100.00
