sensor_id;sensor_type;location;lat;lon;timestamp;P1;P2;P0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:01:07;1;1;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:01:14;1;1;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:04:14;3;1;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:04:22;3;1;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:07:20;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:07:28;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:10:27;4;4;3
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:10:34;4;4;3
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:13:33;3;3;2
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:13:43;5;4;2
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:16:39;3;3;2
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:16:49;3;3;2
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:19:47;11;3;2
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:19:54;11;3;2
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:23:05;7;3;3
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:23:12;7;3;3
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:26:13;3;3;2
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:26:19;3;3;2
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:29:19;1;1;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:29:25;1;1;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:32:25;2;2;2
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:32:31;2;2;2
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:35:32;12;2;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:35:39;12;2;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:38:40;1;1;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:38:46;1;1;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:41:46;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:41:53;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:44:52;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:44:59;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:47:58;18;7;5
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:48:08;9;9;6
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:51:04;9;9;4
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:51:15;9;9;4
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:54:11;11;8;6
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:54:21;11;8;6
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:57:18;12;12;5
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T00:57:26;12;12;5
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:00:25;10;9;6
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:00:32;10;9;6
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:03:31;1;1;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:03:38;1;1;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:06:37;5;5;3
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:06:44;5;5;3
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:09:43;7;7;3
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:09:50;7;7;3
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:12:52;3;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:12:57;3;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:15:59;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:16:06;0;0;0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:19:07;1;1;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:19:13;1;1;1
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T01:22:13;8;8;7
