sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
113;BME280;45999;48.808;9.182;2022-01-01T00:00:41;99114.97;;;9.77;91.87
113;BME280;45999;48.808;9.182;2022-01-01T00:03:07;99116.69;;;9.85;91.02
113;BME280;45999;48.808;9.182;2022-01-01T00:05:34;99121.47;;;10.10;87.64
113;BME280;45999;48.808;9.182;2022-01-01T00:08:00;99127.63;;;10.11;87.64
113;BME280;45999;48.808;9.182;2022-01-01T00:10:28;99128.78;;;10.23;86.53
113;BME280;45999;48.808;9.182;2022-01-01T00:12:55;99123.75;;;10.34;85.49
113;BME280;45999;48.808;9.182;2022-01-01T00:15:22;99118.81;;;10.31;86.14
113;BME280;45999;48.808;9.182;2022-01-01T00:17:48;99128.13;;;10.21;87.48
113;BME280;45999;48.808;9.182;2022-01-01T00:20:15;99125.16;;;10.30;85.78
113;BME280;45999;48.808;9.182;2022-01-01T00:22:42;99126.59;;;10.33;85.55
113;BME280;45999;48.808;9.182;2022-01-01T00:25:09;99122.94;;;10.34;85.11
113;BME280;45999;48.808;9.182;2022-01-01T00:27:36;99127.81;;;10.30;85.67
113;BME280;45999;48.808;9.182;2022-01-01T00:30:04;99130.16;;;10.19;87.57
113;BME280;45999;48.808;9.182;2022-01-01T00:32:32;99132.81;;;10.19;87.58
113;BME280;45999;48.808;9.182;2022-01-01T00:35:01;99138.63;;;10.08;87.98
113;BME280;45999;48.808;9.182;2022-01-01T00:37:27;99139.00;;;10.05;88.59
113;BME280;45999;48.808;9.182;2022-01-01T00:39:53;99134.41;;;9.99;88.95
113;BME280;45999;48.808;9.182;2022-01-01T00:42:24;99128.03;;;9.93;89.48
113;BME280;45999;48.808;9.182;2022-01-01T00:44:51;99142.06;;;9.87;91.82
113;BME280;45999;48.808;9.182;2022-01-01T00:47:17;99137.69;;;9.80;93.25
113;BME280;45999;48.808;9.182;2022-01-01T00:49:44;99137.06;;;9.78;92.68
113;BME280;45999;48.808;9.182;2022-01-01T00:52:10;99133.94;;;9.74;92.48
113;BME280;45999;48.808;9.182;2022-01-01T00:54:36;99136.97;;;9.71;92.62
113;BME280;45999;48.808;9.182;2022-01-01T00:57:03;99138.63;;;9.72;92.46
113;BME280;45999;48.808;9.182;2022-01-01T00:59:29;99140.19;;;9.67;94.02
113;BME280;45999;48.808;9.182;2022-01-01T01:01:57;99138.81;;;9.71;91.54
113;BME280;45999;48.808;9.182;2022-01-01T01:04:25;99140.47;;;9.93;89.21
113;BME280;45999;48.808;9.182;2022-01-01T01:06:52;99144.53;;;9.89;88.67
113;BME280;45999;48.808;9.182;2022-01-01T01:09:19;99144.09;;;9.85;89.81
113;BME280;45999;48.808;9.182;2022-01-01T01:11:45;99148.44;;;9.93;88.66
113;BME280;45999;48.808;9.182;2022-01-01T01:14:16;99141.50;;;9.92;89.54
113;BME280;45999;48.808;9.182;2022-01-01T01:16:50;99147.19;;;9.89;89.58
113;BME280;45999;48.808;9.182;2022-01-01T01:19:19;99142.44;;;9.84;88.91
113;BME280;45999;48.808;9.182;2022-01-01T01:21:47;99147.38;;;9.87;89.20
113;BME280;45999;48.808;9.182;2022-01-01T01:24:14;99147.22;;;9.74;90.32
113;BME280;45999;48.808;9.182;2022-01-01T01:26:41;99152.81;;;9.79;89.65
113;BME280;45999;48.808;9.182;2022-01-01T01:29:14;99152.91;;;9.71;90.77
113;BME280;45999;48.808;9.182;2022-01-01T01:31:40;99152.75;;;9.73;90.31
113;BME280;45999;48.808;9.182;2022-01-01T01:34:06;99167.91;;;9.79;90.13
113;BME280;45999;48.808;9.182;2022-01-01T01:36:33;99162.59;;;9.79;90.34
113;BME280;45999;48.808;9.182;2022-01-01T01:39:00;99165.81;;;9.74;90.98
113;BME280;45999;48.808;9.182;2022-01-01T01:41:26;99172.69;;;9.69;91.04
113;BME280;45999;48.808;9.182;2022-01-01T01:43:55;99164.31;;;9.51;91.68
113;BME280;45999;48.808;9.182;2022-01-01T01:46:23;99157.28;;;9.43;92.44
113;BME280;45999;48.808;9.182;2022-01-01T01:48:52;99154.97;;;9.40;92.39
113;BME280;45999;48.808;9.182;2022-01-01T01:51:19;99156.19;;;9.38;92.95
113;BME280;45999;48.808;9.182;2022-01-01T01:53:45;99158.56;;;9.33;94.73
113;BME280;45999;48.808;9.182;2022-01-01T01:56:12;99159.84;;;9.37;93.71
113;BME280;45999;48.808;9.182;2022-01-01T01:58:38;99163.22;;;9.31;94.38
113;BME280;45999;48.808;9.182;2022-01-01T02:01:05;99152.25;;;9.34;95.57
113;BME280;45999;48.808;9.182;2022-01-01T02:03:50;99153.59;;;9.30;94.08
113;BME280;45999;48.808;9.182;2022-01-01T02:06:20;99152.88;;;9.36;93.55
113;BME280;45999;48.808;9.182;2022-01-01T02:08:47;99155.91;;;9.47;92.54
113;BME280;45999;48.808;9.182;2022-01-01T02:11:15;99154.72;;;9.50;93.06
113;BME280;45999;48.808;9.182;2022-01-01T02:13:43;99158.81;;;9.52;91.26
113;BME280;45999;48.808;9.182;2022-01-01T02:16:26;99164.31;;;9.51;92.89
113;BME280;45999;48.808;9.182;2022-01-01T02:19:00;99169.44;;;9.52;92.54
113;BME280;45999;48.808;9.182;2022-01-01T02:21:27;99171.53;;;9.57;91.53
113;BME280;45999;48.808;9.182;2022-01-01T02:23:53;99170.31;;;9.59;90.84
113;BME280;45999;48.808;9.182;2022-01-01T02:26:33;99169.97;;;9.62;90.33
113;BME280;45999;48.808;9.182;2022-01-01T02:29:00;99167.84;;;9.58;91.01
113;BME280;45999;48.808;9.182;2022-01-01T02:31:31;99164.13;;;9.52;92.41
113;BME280;45999;48.808;9.182;2022-01-01T02:34:03;99172.19;;;9.44;92.76
113;BME280;45999;48.808;9.182;2022-01-01T02:36:30;99157.47;;;9.42;93.18
113;BME280;45999;48.808;9.182;2022-01-01T02:38:57;99169.63;;;9.36;93.97
113;BME280;45999;48.808;9.182;2022-01-01T02:41:24;99161.84;;;9.35;94.64
113;BME280;45999;48.808;9.182;2022-01-01T02:43:51;99166.88;;;9.30;94.96
113;BME280;45999;48.808;9.182;2022-01-01T02:46:18;99162.75;;;9.27;96.08
113;BME280;45999;48.808;9.182;2022-01-01T02:48:44;99160.28;;;9.26;96.09
113;BME280;45999;48.808;9.182;2022-01-01T02:51:11;99152.25;;;9.19;96.06
113;BME280;45999;48.808;9.182;2022-01-01T02:53:40;99165.41;;;9.13;96.58
113;BME280;45999;48.808;9.182;2022-01-01T02:56:07;99163.78;;;9.12;96.90
113;BME280;45999;48.808;9.182;2022-01-01T02:58:33;99159.47;;;9.11;96.16
113;BME280;45999;48.808;9.182;2022-01-01T03:00:59;99159.13;;;9.14;96.58
113;BME280;45999;48.808;9.182;2022-01-01T03:03:26;99149.22;;;9.08;97.29
113;BME280;45999;48.808;9.182;2022-01-01T03:05:52;99152.91;;;9.21;96.21
113;BME280;45999;48.808;9.182;2022-01-01T03:08:18;99155.47;;;9.15;97.19
113;BME280;45999;48.808;9.182;2022-01-01T03:10:45;99151.44;;;9.19;96.72
113;BME280;45999;48.808;9.182;2022-01-01T03:13:12;99151.34;;;9.12;97.75
113;BME280;45999;48.808;9.182;2022-01-01T03:15:39;99148.25;;;9.09;97.70
113;BME280;45999;48.808;9.182;2022-01-01T03:18:05;99154.88;;;9.19;97.97
113;BME280;45999;48.808;9.182;2022-01-01T03:20:32;99159.03;;;9.07;98.82
113;BME280;45999;48.808;9.182;2022-01-01T03:22:58;99162.41;;;9.16;97.53
113;BME280;45999;48.808;9.182;2022-01-01T03:25:24;99162.97;;;9.11;96.93
113;BME280;45999;48.808;9.182;2022-01-01T03:27:51;99149.22;;;9.08;97.42
113;BME280;45999;48.808;9.182;2022-01-01T03:30:17;99155.72;;;9.05;96.78
113;BME280;45999;48.808;9.182;2022-01-01T03:32:43;99147.13;;;9.03;97.29
113;BME280;45999;48.808;9.182;2022-01-01T03:35:10;99148.41;;;9.07;95.73
113;BME280;45999;48.808;9.182;2022-01-01T03:37:37;99144.31;;;9.05;95.69
113;BME280;45999;48.808;9.182;2022-01-01T03:40:04;99141.66;;;9.05;95.09
113;BME280;45999;48.808;9.182;2022-01-01T03:42:30;99141.72;;;8.97;96.29
113;BME280;45999;48.808;9.182;2022-01-01T03:44:57;99144.47;;;8.89;97.41
113;BME280;45999;48.808;9.182;2022-01-01T03:47:23;99147.13;;;8.89;97.05
113;BME280;45999;48.808;9.182;2022-01-01T03:49:49;99149.75;;;8.89;96.76
113;BME280;45999;48.808;9.182;2022-01-01T03:52:16;99148.22;;;8.94;97.22
113;BME280;45999;48.808;9.182;2022-01-01T03:54:42;99154.16;;;8.96;98.65
113;BME280;45999;48.808;9.182;2022-01-01T03:57:08;99159.63;;;8.95;97.94
113;BME280;45999;48.808;9.182;2022-01-01T03:59:35;99159.63;;;8.95;97.97
113;BME280;45999;48.808;9.182;2022-01-01T04:02:01;99160.94;;;8.99;97.44
113;BME280;45999;48.808;9.182;2022-01-01T04:04:28;99156.00;;;8.96;97.96
113;BME280;45999;48.808;9.182;2022-01-01T04:06:55;99155.44;;;9.00;97.71
113;BME280;45999;48.808;9.182;2022-01-01T04:09:22;99161.84;;;9.06;97.41
113;BME280;45999;48.808;9.182;2022-01-01T04:11:49;99151.59;;;9.03;99.13
113;BME280;45999;48.808;9.182;2022-01-01T04:14:16;99158.53;;;9.04;98.40
113;BME280;45999;48.808;9.182;2022-01-01T04:16:43;99157.47;;;8.98;98.87
113;BME280;45999;48.808;9.182;2022-01-01T04:19:11;99158.63;;;9.10;96.38
113;BME280;45999;48.808;9.182;2022-01-01T04:21:37;99158.63;;;9.10;95.80
113;BME280;45999;48.808;9.182;2022-01-01T04:24:04;99159.03;;;9.07;95.64
113;BME280;45999;48.808;9.182;2022-01-01T04:26:30;99159.22;;;9.06;95.24
113;BME280;45999;48.808;9.182;2022-01-01T04:28:58;99151.44;;;9.04;95.24
113;BME280;45999;48.808;9.182;2022-01-01T04:31:25;99154.63;;;9.00;96.74
113;BME280;45999;48.808;9.182;2022-01-01T04:33:51;99153.63;;;9.01;95.17
113;BME280;45999;48.808;9.182;2022-01-01T04:36:17;99146.19;;;8.96;96.22
113;BME280;45999;48.808;9.182;2022-01-01T04:38:45;99142.09;;;8.94;96.80
113;BME280;45999;48.808;9.182;2022-01-01T04:41:13;99142.25;;;8.92;96.65
113;BME280;45999;48.808;9.182;2022-01-01T04:43:41;99127.91;;;8.87;97.10
113;BME280;45999;48.808;9.182;2022-01-01T04:46:09;99141.88;;;8.81;97.58
113;BME280;45999;48.808;9.182;2022-01-01T04:48:36;99133.56;;;8.69;97.55
113;BME280;45999;48.808;9.182;2022-01-01T04:51:07;99129.91;;;8.70;96.70
113;BME280;45999;48.808;9.182;2022-01-01T04:53:34;99120.56;;;8.60;97.34
113;BME280;45999;48.808;9.182;2022-01-01T04:56:01;99124.03;;;8.46;98.38
113;BME280;45999;48.808;9.182;2022-01-01T04:58:31;99114.84;;;8.34;99.09
113;BME280;45999;48.808;9.182;2022-01-01T05:00:58;99120.22;;;8.26;99.03
113;BME280;45999;48.808;9.182;2022-01-01T05:03:24;99116.78;;;8.17;99.71
113;BME280;45999;48.808;9.182;2022-01-01T05:05:51;99122.69;;;8.05;99.49
113;BME280;45999;48.808;9.182;2022-01-01T05:08:17;99119.38;;;8.03;100.00
113;BME280;45999;48.808;9.182;2022-01-01T05:10:43;99117.16;;;7.92;100.00
113;BME280;45999;48.808;9.182;2022-01-01T05:13:10;99115.03;;;7.87;100.00
113;BME280;45999;48.808;9.182;2022-01-01T05:15:36;99108.97;;;7.79;100.00
113;BME280;45999;48.808;9.182;2022-01-01T05:18:02;99111.94;;;7.76;100.00
113;BME280;45999;48.808;9.182;2022-01-01T05:20:29;99125.06;;;7.69;100.00
113;BME280;45999;48.808;9.182;2022-01-01T05:22:55;99123.97;;;7.64;100.00
113;BME280;45999;48.808;9.182;2022-01-01T05:25:21;99127.94;;;7.60;100.00
