date, pm25, pm10, o3, no2, so2
2023/9/5, 28, 16, 34, 17, 
2023/9/6, 42, 15, 36, 15, 
2023/9/7, 40, 17, 37, 17, 
2023/9/8, 46, 17, 42, 14, 
2023/9/9, 45, 16, 42, 15, 
2023/9/10, 43, 23, 37, 27, 
2023/9/11, 61, 28, 34, 26, 
2023/9/12, 70, 16, 28, 15, 
2023/9/13, 43, 11, 16, 12, 
2023/9/14, 31, 12, 26, 13, 
2023/9/15, 29, 13, 32, 12, 
2023/9/16, 33, 13, 40, 8, 
2023/9/17, 33, 13, 23, 10, 
2023/9/18, 33, 8, 21, 12, 
2023/9/19, 17, 9, 18, 15, 
2023/9/20, 20, 13, 24, 10, 
2023/9/21, 33, 9, 18, 14, 
2023/9/22, 24, 7, 24, 8, 
2023/9/23, 19, 10, 18, 12, 
2023/9/24, 21, 13, 20, 16, 
2023/9/25, 32, 19, 21, 16, 
2023/9/26, 49, 24, 26, 19, 
2023/9/27, 64, 24, 27, 19, 
2023/9/28, 63, 21, 26, 20, 
2023/9/29, 57, 14, 24, 9, 
2023/9/30, 35, 12, 26, 10, 
2023/4/3, 24, 9, 27, 10, 
2023/4/4, 19, 10, 29, 10, 
2023/4/5, 42, 15, 26, 17, 
2023/4/6, 52, 19, 27, 19, 
2023/4/7, 50, 18, 32, 11, 
2023/4/8, 29, 11, 14, 8, 
2023/4/9, 65, 24, 27, 12, 
2023/4/11, 18, 10, 28, 11, 
2023/4/12, 14, 9, 27, 11, 
2023/4/13, 21, 9, 27, 13, 
2023/4/14, 24, 10, 24, 12, 
2023/4/15, 23, 8, 22, 9, 
2023/4/16, 16, 12, 25, 7, 
2023/4/17, 26, 10, 23, 10, 
2023/4/18, 54, 20, 11, 11, 
2023/4/19, 34, 13, 32, 11, 
2023/4/20, 48, 19, 25, 16, 
2023/4/21, 64, 25, 38, 13, 
2023/4/22, 58, 22, 44, 9, 
2023/4/23, 38, 12, 30, 8, 
2023/4/24, 17, 9, 34, 11, 
2023/4/25, 32, 12, 28, 8, 
2023/4/26, 42, 15, 31, 7, 
2023/4/27, 56, 22, 31, 16, 
2023/4/28, 55, 21, 24, 13, 
2023/4/29, 33, 13, 25, 7, 
2023/4/30, 40, 16, 32, 8, 
2023/5/1, 68, 27, 36, 10, 
2023/5/2, 50, 18, 28, 7, 
2023/5/3, 39, 15, 29, 10, 
2023/5/4, 60, 22, 35, 13, 
2023/5/5, 56, 21, 37, 11, 
2023/5/6, 55, 21, 25, 7, 
2023/5/7, 34, 13, 27, 3, 
2023/5/8, 37, 14, 32, 7, 
2023/5/9, 40, 15, 36, 6, 
2023/5/10, 40, 15, 30, 9, 
2023/5/11, 53, 22, 32, 10, 
2023/5/12, 59, 23, 31, 16, 
2023/5/13, 40, 15, 30, 9, 
2023/5/14, 33, 13, 29, 7, 
2023/5/15, 29, 14, 30, 16, 
2023/5/16, 47, 17, 26, 10, 
2023/5/17, 40, 15, 28, 9, 
2023/5/18, 39, 15, 30, 7, 
2023/5/19, 42, 16, 29, 9, 
2023/5/20, 52, 20, 28, 5, 
2023/5/21, 52, 19, 35, 8, 
2023/5/22, 59, 22, 35, 13, 
2023/5/23, 44, 16, 23, 10, 
2023/5/24, 49, 18, 25, 10, 
2023/5/25, 47, 17, 30, 12, 
2023/5/26, 51, 19, 33, 12, 
2023/5/27, 41, 15, 33, 10, 
2023/5/28, 33, 13, 41, 9, 
2023/5/29, 33, 13, 40, 9, 
2023/5/30, 15, 8, 34, 13, 
2023/5/31, 28, 8, 34, 15, 
2023/6/1, 32, 12, 34, 11, 
2023/6/2, 35, 14, 25, 10, 
2023/6/3, 18, 9, 32, 8, 
2023/6/4, 17, 8, 36, 9, 
2023/6/5, 25, 10, 34, 14, 
2023/6/6, 32, 12, 21, 18, 
2023/6/7, 58, 22, 21, 18, 
2023/6/8, 63, 24, 28, 19, 
2023/6/9, 50, 19, 39, 15, 
2023/6/10, 42, 16, 40, 11, 
2023/6/11, 22, 10, 41, , 
2023/6/12, 14, 7, 37, 17, 
2023/6/13, 30, 11, 33, 19, 
2023/6/14, 9, 4, 27, 11, 
2023/6/15, 16, 6, 27, 15, 
2023/6/16, 28, 10, 26, 11, 
2023/6/17, 34, 13, 33, , 
2023/6/18, 40, 15, 44, 8, 
2023/6/19, 49, 18, 35, 13, 
2023/6/20, 58, 22, 34, 15, 
2023/6/21, 43, 16, 39, 12, 
2023/6/22, 46, 16, 40, 10, 
2023/6/23, 18, 7, 29, 9, 
2023/6/24, 39, 14, 31, 7, 
2023/6/25, 37, 14, 36, 9, 
2023/6/26, 40, 15, 34, 13, 
2023/6/27, 28, 12, 26, 8, 
2023/6/28, 25, 11, 29, 8, 
2023/6/29, 29, 12, 35, 16, 
2023/6/30, 37, 15, 25, 14, 
2023/1/2, 43, 7, 21, 9, 
2023/1/3, 23, 6, 21, 9, 
2023/1/5, 12, 6, 17, 12, 
2023/1/6, 13, 10, 19, 13, 
2023/1/7, 39, 12, 12, 6, 
2023/1/8, 29, 12, 20, 14, 
2023/1/9, 26, 10, 20, 11, 
2023/1/10, 24, 7, 19, 11, 
2023/1/11, 19, 7, 23, 8, 
2023/1/12, 14, 3, , , 
2023/1/16, 16, 14, 21, 18, 
2023/1/17, 44, 19, 19, 18, 
2023/1/18, 46, 18, 12, 21, 
2023/1/19, 44, 24, 16, 15, 
2023/1/20, 59, 13, 17, 7, 
2023/1/21, 26, 10, 11, 9, 
2023/1/22, 25, 19, 5, 10, 
2023/1/23, 50, 29, 5, 14, 
2023/1/24, 70, 20, 9, 17, 
2023/1/25, 48, 23, 6, 14, 
2023/1/26, 50, 17, 10, 11, 
2023/1/27, 37, 19, 20, 9, 
2023/1/28, 54, 23, 21, 10, 
2023/1/29, 51, 11, 26, 7, 
2023/1/30, 25, 8, 26, 7, 
2023/2/6, 52, 38, 5, 22, 
2023/2/7, 102, 36, 24, 16, 
2023/2/8, 77, 28, 14, 20, 
2023/2/9, 91, 30, 16, 19, 
2023/2/10, 74, 22, 18, 9, 
2023/2/11, 63, 12, 14, 9, 
2023/2/15, 53, 29, 21, 20, 
2023/2/16, 70, 11, 23, 8, 
2023/2/17, 32, 4, 25, 5, 
2023/2/18, 9, 5, 26, 5, 
2023/2/22, 46, 22, 11, 14, 
2023/2/23, 29, 12, 21, 10, 
2023/3/16, 41, 14, 28, 8, 
2023/3/17, 31, 17, 26, 7, 
2023/3/19, 48, 18, 16, 14, 
2023/3/20, 47, 15, 17, 15, 
2023/3/21, 40, 11, 24, 14, 
2023/3/22, 27, 10, 25, 13, 
2023/3/23, 21, 8, 26, 12, 
2023/3/24, 18, 4, 27, 6, 
2023/3/25, 10, 4, 27, 6, 
2023/3/26, 9, 6, 29, 6, 
2023/3/27, 12, 7, 28, 8, 
2023/3/28, 15, 17, 16, 15, 
2023/3/29, 48, 13, 29, 11, 
2023/3/30, 37, 8, 26, 14, 
2023/3/31, 21, 4, 25, 8, 
2022/10/1, 16, 5, 18, 8, 
2022/10/2, 10, 6, 7, 7, 
2022/10/3, 11, 9, 13, 15, 
2022/10/4, 21, 14, 12, 14, 
2022/10/5, 37, 12, 20, 14, 
2022/10/6, 30, 15, 16, 16, 
2022/10/7, 37, 16, 19, 10, 
2022/10/8, 31, 10, 18, 8, 
2022/10/9, 22, 14, 12, 13, 
2022/10/10, 35, 16, 18, 15, 
2022/10/11, 44, 19, 15, 16, 
2022/10/12, 50, 23, 10, 15, 
2022/10/13, 60, 27, 7, 15, 
2022/10/14, 67, 9, 9, 10, 
2022/10/15, 20, 9, 9, 9, 
2022/10/16, 21, 21, 14, 9, 
2022/10/17, 54, 21, 8, 13, 
2022/10/18, 53, 11, 16, 13, 
2022/10/19, 28, 9, 18, 8, 
2022/10/20, 22, 15, 15, 9, 
2022/10/21, 38, 16, 9, 13, 
2022/10/22, 42, 12, 11, 6, 
2022/10/23, 30, 15, 16, 16, 
2022/10/24, 39, 11, 18, 14, 
2022/10/25, 21, 16, 6, 16, 
2022/10/26, 34, 20, 11, 19, 
2022/10/27, 49, 21, 7, 11, 
2022/10/28, 52, 26, 4, 13, 
2022/10/29, 64, 28, 5, 13, 
2022/10/30, 68, 26, 11, 16, 
2022/10/31, 62, 25, 5, 15, 
2022/11/1, 60, 15, 17, 18, 
2022/11/2, 33, 13, 16, 10, 
2022/11/3, 28, 14, 14, 14, 
2022/11/4, 30, 15, 17, 11, 
2022/11/5, 39, 11, 14, 8, 
2022/11/6, 26, 13, 15, 16, 
2022/11/7, 31, 13, 11, 15, 
2022/11/8, 30, 23, 12, 11, 
2022/11/9, 52, 11, 15, 14, 
2022/11/10, 24, 18, 4, 16, 
2022/11/11, 45, 22, 6, 20, 
2022/11/12, 48, 17, 16, 9, 
2022/11/13, 41, 21, 18, 8, 
2022/11/14, 53, 23, 8, 10, 
2022/11/15, 59, 10, 9, 8, 
2022/11/16, 18, 5, 3, 7, 
2022/11/17, 22, 15, 11, 10, 
2022/11/18, 37, 22, 7, 18, 
2022/11/19, 55, 20, 13, 14, 
2022/11/20, 48, 22, 6, 15, 
2022/11/21, 53, 16, 8, 12, 
2022/11/22, 40, 24, 3, 16, 
2022/11/23, 61, 26, 2, 20, 
2022/11/24, 64, 19, 9, 18, 
2022/11/25, 45, 19, 14, 11, 
2022/11/26, 46, 15, 11, 10, 
2022/11/27, 37, 18, 11, 8, 
2022/11/28, 45, 25, 10, 10, 
2022/11/29, 54, 29, 11, 17, 
2022/11/30, 70, 38, 4, 14, 
2022/12/1, 87, 27, 9, 12, 
2022/12/2, 65, 25, 4, 14, 
2022/12/3, 62, 29, 13, 10, 
2022/12/4, 69, 17, 10, 13, 
2022/12/5, 41, 10, , 10, 
2022/12/6, 22, 8, 17, 13, 
2022/12/7, 13, 12, 16, 14, 
2022/12/8, 30, 23, 11, 17, 
2022/12/9, 56, 21, 13, 11, 
2022/12/10, 55, 16, 19, 7, 
2022/12/11, 39, 17, 13, 12, 
2022/12/12, 43, 24, 11, 26, 
2022/12/13, 57, 27, 12, 17, 
2022/12/14, 66, 37, 2, 27, 
2022/12/15, 84, 45, 4, 20, 
2022/12/16, 98, 45, 7, 23, 
2022/12/17, 99, 29, 17, 16, 
2022/12/18, 67, 27, 16, 11, 
2022/12/19, 64, 28, 9, 12, 
2022/12/20, 69, 21, 6, 13, 
2022/12/21, 52, 11, 15, 15, 
2022/12/22, 25, 7, 17, 14, 
2022/12/23, 24, 9, 23, 9, 
2022/12/24, 21, 9, 12, 7, 
2022/12/25, 19, 6, 26, 8, 
2022/12/26, 13, 8, 25, 9, 
2022/12/27, 16, 10, 17, 13, 
2022/12/28, 15, 10, 24, 9, 
2022/12/29, 16, 10, 22, 11, 
2022/12/30, 27, 11, 20, 5, 
2022/12/31, 34, 21, 21, 6, 
2023/1/1, 43, 17, 24, 11, 
2022/7/1, 34, 9, 36, 10, 
2022/7/2, 21, 10, 39, 8, 
2022/7/3, 24, 13, 39, 10, 
2022/7/4, 35, 14, 38, 12, 
2022/7/5, 36, 11, 30, 8, 
2022/7/6, 23, 8, 20, 10, 
2022/7/7, 18, 14, 22, 7, 
2022/7/8, 40, 8, 19, 6, 
2022/7/9, 16, 8, 24, 4, 
2022/7/10, 22, 8, 25, 7, 
2022/7/11, 17, 10, 26, 10, 
2022/7/12, 23, 13, 35, 13, 
2022/7/13, 31, 15, 30, 12, 
2022/7/14, 40, 10, 26, 7, 
2022/7/15, 23, 10, 28, 7, 
2022/7/16, 21, 10, 32, 7, 
2022/7/17, 21, 14, 32, 18, 
2022/7/18, 37, 20, 44, 19, 
2022/7/19, 52, 17, 44, 12, 
2022/7/20, 47, 17, 41, 15, 
2022/7/21, 46, 13, 41, 12, 
2022/7/22, 34, 12, 34, 9, 
2022/7/23, 28, 11, 41, 9, 
2022/7/24, 28, 34, 42, 13, 
2022/7/25, 82, 17, 28, 9, 
2022/7/26, 46, 11, 26, 10, 
2022/7/27, 29, 14, 34, 13, 
2022/7/28, 37, 27, 39, 16, 
2022/7/29, 67, 15, 30, 8, 
2022/7/30, 40, 13, 43, 8, 
2022/7/31, 33, 9, 26, 9, 
2022/8/1, 19, 11, 30, 15, 
2022/8/2, 29, 16, 44, 18, 
2022/8/3, 43, 18, 48, 14, 
2022/8/4, 49, 19, 47, 11, 
2022/8/5, 51, 4, 28, 5, 
2022/8/6, 14, 8, 31, 9, 
2022/8/7, 14, 12, 31, 13, 
2022/8/8, 31, 17, 35, 17, 
2022/8/9, 46, 20, 36, 19, 
2022/8/10, 53, 16, 37, 13, 
2022/8/11, 42, 12, 33, 14, 
2022/8/12, 31, 15, 30, 16, 
2022/8/13, 38, 15, 34, 11, 
2022/8/14, 42, 17, 29, 16, 
2022/8/15, 48, 15, 41, 18, 
2022/8/16, 39, 17, 40, 24, 
2022/8/17, 45, 24, 39, 18, 
2022/8/18, 62, 18, 28, 10, 
2022/8/19, 41, 15, 19, 11, 
2022/8/22, 18, 12, 14, 13, 
2022/8/23, 29, 19, 22, 17, 
2022/8/24, 52, 31, 30, 14, 
2022/8/25, 76, 30, 28, 16, 
2022/8/26, 73, 11, 28, 9, 
2022/8/27, 25, 9, 26, 5, 
2022/8/28, 22, 12, 28, 13, 
2022/8/29, 31, 13, 26, 13, 
2022/8/30, 31, 11, 19, 13, 
2022/8/31, 26, 13, 18, 16, 
2022/9/1, 31, 10, 23, 12, 
2022/9/2, 24, 11, 30, 11, 
2022/9/3, 25, 13, 33, 8, 
2022/9/4, 34, 17, 29, 11, 
2022/9/5, 45, 17, 24, 12, 
2022/9/6, 46, 19, 20, 13, 
2022/9/7, 51, 15, 22, 16, 
2022/9/8, 41, 10, 16, 13, 
2022/9/9, 25, 9, 22, 11, 
2022/9/10, 20, 9, 21, 8, 
2022/9/11, 19, 13, 20, 15, 
2022/9/12, 34, 13, 24, 14, 
2022/9/13, 34, 17, 9, 18, 
2022/9/14, 44, 10, 20, 11, 
2022/9/15, 26, 8, 21, 10, 
2022/9/16, 19, 6, 22, 5, 
2022/9/17, 13, 4, 20, 4, 
2022/9/18, 12, 6, 17, 8, 
2022/9/20, 18, 12, 15, 14, 
2022/9/21, 30, 15, 15, 17, 
2022/9/22, 39, 16, 15, 17, 
2022/9/23, 43, 16, 23, 12, 
2022/9/24, 43, 17, 25, 12, 
2022/9/25, 46, 13, 17, 15, 
2022/9/26, 32, 7, 19, 11, 
2022/9/27, 17, 10, 10, 13, 
2022/9/28, 26, 11, 11, 15, 
