date,city,pm25,pm10
2014-09-03,"hannover,-germany",, 10
2014-09-04,munich, , 23
2014-09-04,"dresden-bergstraße,-germany", , 32
2014-09-04,"potsdam-zentrum,-germany", , 21
2014-09-04,"hannover,-germany",, 15
2014-09-04,"sternschanze,-hamburg, germany", 29, 20
2014-09-04,"berlin,-germany", , 25
2014-09-04,"stuttgart-bad-cannstatt, germany", , 42
2014-09-05,"dresden-bergstraße,-germany", , 37
2014-09-05,"stuttgart-bad-cannstatt, germany", , 52
2014-09-05,"hannover,-germany",, 27
2014-09-05,"potsdam-zentrum,-germany", , 32
2014-09-05,"sternschanze,-hamburg, germany", 51, 35
2014-09-05,"berlin,-germany", , 38
2014-09-05,munich, , 39
2014-09-06,"berlin,-germany", , 42
2014-09-06,"stuttgart-bad-cannstatt, germany", , 44
2014-09-06,"potsdam-zentrum,-germany", , 37
2014-09-06,"hannover,-germany",, 43
2014-09-06,"dresden-bergstraße,-germany", , 33
2014-09-06,"sternschanze,-hamburg, germany", 80, 47
2014-09-06,munich, , 37
2014-09-07,munich, , 23
2014-09-07,"dresden-bergstraße,-germany", , 26
2014-09-07,"potsdam-zentrum,-germany", , 28
2014-09-07,"sternschanze,-hamburg, germany", 112, 27
2014-09-07,"berlin,-germany", , 44
2014-09-07,"stuttgart-bad-cannstatt, germany", , 44
2014-09-07,"hannover,-germany",, 40
2014-09-08,"dresden-bergstraße,-germany", , 30
2014-09-08,"hannover,-germany",, 22
2014-09-08,"sternschanze,-hamburg, germany", 57, 14
2014-09-08,"potsdam-zentrum,-germany", , 19
2014-09-08,"berlin,-germany", , 36
2014-09-08,"stuttgart-bad-cannstatt, germany", , 39
2014-09-08,munich, , 24
2014-09-09,"stuttgart-bad-cannstatt, germany", , 44
2014-09-09,"hannover,-germany",, 11
2014-09-09,"dresden-bergstraße,-germany", , 23
2014-09-09,"sternschanze,-hamburg, germany", 23, 11
2014-09-09,munich, , 36
2014-09-09,"potsdam-zentrum,-germany", , 17
2014-09-09,"berlin,-germany", , 31
2014-09-10,"hannover,-germany",, 11
2014-09-10,"stuttgart-bad-cannstatt, germany", , 39
2014-09-10,"dresden-bergstraße,-germany", , 21
2014-09-10,"sternschanze,-hamburg, germany", 22, 13
2014-09-10,"berlin,-germany", , 24
2014-09-10,"potsdam-zentrum,-germany", , 12
2014-09-10,munich, , 34
2014-09-11,"hannover,-germany",, 16
2014-09-11,"potsdam-zentrum,-germany", , 14
2014-09-11,"dresden-bergstraße,-germany", , 24
2014-09-11,"sternschanze,-hamburg, germany", 32, 14
2014-09-11,"berlin,-germany", , 25
2014-09-11,munich, , 28
2014-09-11,"stuttgart-bad-cannstatt, germany", , 38
2014-09-12,"hannover,-germany",, 11
2014-09-12,munich, , 25
2014-09-12,"sternschanze,-hamburg, germany", 38, 23
2014-09-12,"potsdam-zentrum,-germany", , 21
2014-09-12,"dresden-bergstraße,-germany", , 29
2014-09-12,"stuttgart-bad-cannstatt, germany", , 18
2014-09-12,"berlin,-germany", , 30
2014-09-13,"stuttgart-bad-cannstatt, germany", , 18
2014-09-13,"potsdam-zentrum,-germany", , 25
2014-09-13,munich, , 11
2014-09-13,"hannover,-germany",, 16
2014-09-13,"berlin,-germany", , 36
2014-09-13,"sternschanze,-hamburg, germany", 57, 17
2014-09-13,"dresden-bergstraße,-germany", , 25
2014-09-14,"potsdam-zentrum,-germany", , 19
2014-09-14,munich, , 22
2014-09-14,"berlin,-germany", , 41
2014-09-14,"dresden-bergstraße,-germany", , 25
2014-09-14,"sternschanze,-hamburg, germany", 42, 20
2014-09-14,"hannover,-germany",, 12
2014-09-14,"stuttgart-bad-cannstatt, germany", , 29
2014-09-15,"dresden-bergstraße,-germany", , 38
2014-09-15,munich, , 22
2014-09-15,"stuttgart-bad-cannstatt, germany", , 31
2014-09-15,"hannover,-germany",, 18
2014-09-15,"sternschanze,-hamburg, germany", 51, 37
2014-09-15,"potsdam-zentrum,-germany", , 43
2014-09-15,"berlin,-germany", , 51
2014-09-16,"potsdam-zentrum,-germany", , 44
2014-09-16,"hannover,-germany",, 37
2014-09-16,"sternschanze,-hamburg, germany", 74, 38
2014-09-16,"berlin,-germany", , 50
2014-09-16,"stuttgart-bad-cannstatt, germany", , 30
2014-09-16,"dresden-bergstraße,-germany", , 35
2014-09-16,munich, , 23
2014-09-17,"dresden-bergstraße,-germany", , 27
2014-09-17,"sternschanze,-hamburg, germany", 72, 37
2014-09-17,"potsdam-zentrum,-germany", , 36
2014-09-17,munich, , 26
2014-09-17,"stuttgart-bad-cannstatt, germany", , 32
2014-09-17,"berlin,-germany", , 48
2014-09-17,"hannover,-germany",, 34
2014-09-18,munich, , 20
2014-09-18,"berlin,-germany", , 42
2014-09-18,"sternschanze,-hamburg, germany", 74, 32
2014-09-18,"hannover,-germany",, 28
2014-09-18,"stuttgart-bad-cannstatt, germany", , 37
2014-09-18,"dresden-bergstraße,-germany", , 25
2014-09-18,"potsdam-zentrum,-germany", , 30
2014-09-19,munich, , 18
2014-09-19,"stuttgart-bad-cannstatt, germany", , 32
2014-09-19,"berlin,-germany", , 46
2014-09-19,"hannover,-germany",, 19
2014-09-19,"potsdam-zentrum,-germany", , 33
2014-09-19,"sternschanze,-hamburg, germany", 69, 31
2014-09-19,"dresden-bergstraße,-germany", , 27
2014-09-20,"dresden-bergstraße,-germany", , 18
2014-09-20,munich, , 19
2014-09-20,"stuttgart-bad-cannstatt, germany", , 23
2014-09-20,"sternschanze,-hamburg, germany", 71, 32
2014-09-20,"hannover,-germany",, 24
2014-09-20,"potsdam-zentrum,-germany", , 32
2014-09-20,"berlin,-germany", , 51
2014-09-21,"berlin,-germany", , 37
2014-09-21,"hannover,-germany",, 32
2014-09-21,"stuttgart-bad-cannstatt, germany", , 20
2014-09-21,"dresden-bergstraße,-germany", , 13
2014-09-21,"potsdam-zentrum,-germany", , 24
2014-09-21,munich, , 18
2014-09-21,"sternschanze,-hamburg, germany", 74, 23
2014-09-22,"dresden-bergstraße,-germany", , 19
2014-09-22,"stuttgart-bad-cannstatt, germany", , 26
2014-09-22,"hannover,-germany",, 14
2014-09-22,"potsdam-zentrum,-germany", , 13
2014-09-22,"berlin,-germany", , 28
2014-09-22,munich, , 18
2014-09-22,"sternschanze,-hamburg, germany", 38, 17
2014-09-23,munich, , 18
2014-09-23,"stuttgart-bad-cannstatt, germany", , 30
2014-09-23,"hannover,-germany",, 11
2014-09-23,"sternschanze,-hamburg, germany", 29, 30
2014-09-23,"dresden-bergstraße,-germany", , 17
2014-09-23,"potsdam-zentrum,-germany", , 10
2014-09-23,"berlin,-germany", , 18
2014-09-24,"potsdam-zentrum,-germany", , 18
2014-09-24,"stuttgart-bad-cannstatt, germany", , 32
2014-09-24,"sternschanze,-hamburg, germany", 59, 33
2014-09-24,munich, , 19
2014-09-24,"hannover,-germany",, 17
2014-09-24,"berlin,-germany", , 30
2014-09-24,"dresden-bergstraße,-germany", , 22
2014-09-25,"potsdam-zentrum,-germany", , 20
2014-09-25,"dresden-bergstraße,-germany", , 22
2014-09-25,munich, , 25
2014-09-25,"berlin,-germany", , 29
2014-09-25,"stuttgart-bad-cannstatt, germany", , 29
2014-09-25,"hannover,-germany",, 26
2014-09-25,"sternschanze,-hamburg, germany", 71, 15
2014-09-26,"sternschanze,-hamburg, germany", 28, 16
2014-09-26,"berlin,-germany", , 30
2014-09-26,munich, , 27
2014-09-26,"dresden-bergstraße,-germany", , 17
2014-09-26,"stuttgart-bad-cannstatt, germany", , 26
2014-09-26,"potsdam-zentrum,-germany", , 20
2014-09-26,"hannover,-germany",, 12
2014-09-27,"berlin,-germany", , 29
2014-09-27,"potsdam-zentrum,-germany", , 21
2014-09-27,"dresden-bergstraße,-germany", , 18
2014-09-27,"sternschanze,-hamburg, germany", 20, 24
2014-09-27,"stuttgart-bad-cannstatt, germany", , 30
2014-09-27,munich, , 21
2014-09-27,"hannover,-germany",, 16
2014-09-28,"hannover,-germany",, 13
2014-09-28,"berlin,-germany", , 37
2014-09-28,"dresden-bergstraße,-germany", , 18
2014-09-28,munich, , 20
2014-09-28,"potsdam-zentrum,-germany", , 17
2014-09-28,"sternschanze,-hamburg, germany", 44, 32
2014-09-28,"stuttgart-bad-cannstatt, germany", , 21
2014-09-29,"berlin,-germany", , 41
2014-09-29,"dresden-bergstraße,-germany", , 25
2014-09-29,"sternschanze,-hamburg, germany", 66, 35
2014-09-29,"stuttgart-bad-cannstatt, germany", , 29
2014-09-29,munich, , 21
2014-09-29,"hannover,-germany",, 13
2014-09-29,"potsdam-zentrum,-germany", , 20
2014-09-30,"berlin,-germany", , 39
2014-09-30,munich, , 25
2014-09-30,"sternschanze,-hamburg, germany", 76, 36
2014-09-30,"stuttgart-bad-cannstatt, germany", , 30
2014-09-30,"potsdam-zentrum,-germany", , 23
2014-09-30,"hannover,-germany",, 18
2014-09-30,"dresden-bergstraße,-germany", , 28
2014-10-01,"potsdam-zentrum,-germany", , 39
2014-10-01,"dresden-bergstraße,-germany", , 27
2014-10-01,munich, , 42
2014-10-01,"sternschanze,-hamburg, germany", 68, 44
2014-10-01,"stuttgart-bad-cannstatt, germany", , 40
2014-10-01,"berlin,-germany", , 46
2014-10-01,"hannover,-germany",, 30
2014-10-02,"hannover,-germany",, 27
2014-10-02,"potsdam-zentrum,-germany", , 36
2014-10-02,"dresden-bergstraße,-germany", , 31
2014-10-02,"berlin,-germany", , 53
2014-10-02,munich, , 31
2014-10-02,"stuttgart-bad-cannstatt, germany", , 37
2014-10-02,"sternschanze,-hamburg, germany", 79, 39
2014-10-03,"sternschanze,-hamburg, germany", 75, 32
2014-10-03,"dresden-bergstraße,-germany", , 20
2014-10-03,"hannover,-germany",, 23
2014-10-03,"potsdam-zentrum,-germany", , 24
2014-10-03,"stuttgart-bad-cannstatt, germany", , 36
2014-10-03,munich, , 27
2014-10-03,"berlin,-germany", , 35
2014-10-04,"berlin,-germany", , 47
2014-10-04,"hannover,-germany",, 18
2014-10-04,"dresden-bergstraße,-germany", , 23
2014-10-04,"potsdam-zentrum,-germany", , 33
2014-10-04,"stuttgart-bad-cannstatt, germany", , 34
2014-10-04,"sternschanze,-hamburg, germany", 59, 32
2014-10-04,munich, , 22
2014-10-05,"hannover,-germany",, 21
2014-10-05,"berlin,-germany", , 46
2014-10-05,"stuttgart-bad-cannstatt, germany", , 39
2014-10-05,"sternschanze,-hamburg, germany", 69, 35
2014-10-05,munich, , 26
2014-10-05,"potsdam-zentrum,-germany", , 35
2014-10-05,"dresden-bergstraße,-germany", , 26
2014-10-06,"hannover,-germany",, 24
2014-10-06,"potsdam-zentrum,-germany", , 43
2014-10-06,"berlin,-germany", , 52
2014-10-06,munich, , 23
2014-10-06,"dresden-bergstraße,-germany", , 30
2014-10-06,"sternschanze,-hamburg, germany", 80, 35
2014-10-06,"stuttgart-bad-cannstatt, germany", , 40
2014-10-07,"stuttgart-bad-cannstatt, germany", , 37
2014-10-07,"sternschanze,-hamburg, germany", 80, 16
2014-10-07,"potsdam-zentrum,-germany", , 37
2014-10-07,"dresden-bergstraße,-germany", , 34
2014-10-07,"hannover,-germany",, 24
2014-10-07,munich, , 21
2014-10-07,"berlin,-germany", , 52
2014-10-08,"sternschanze,-hamburg, germany", 53, 12
2014-10-08,"hannover,-germany",, 9
2014-10-08,munich, , 19
2014-10-08,"berlin,-germany", , 30
2014-10-08,"dresden-bergstraße,-germany", , 26
2014-10-08,"stuttgart-bad-cannstatt, germany", , 18
2014-10-08,"potsdam-zentrum,-germany", , 11
2014-10-09,"hannover,-germany",, 7
2014-10-09,munich, , 20
2014-10-09,"potsdam-zentrum,-germany", , 19
2014-10-09,"sternschanze,-hamburg, germany", 27, 17
2014-10-09,"stuttgart-bad-cannstatt, germany", , 25
2014-10-09,"dresden-bergstraße,-germany", , 20
2014-10-09,"berlin,-germany", , 37
2014-10-10,"stuttgart-bad-cannstatt, germany", , 20
2014-10-10,"dresden-bergstraße,-germany", , 28
2014-10-10,"potsdam-zentrum,-germany", , 15
2014-10-10,"hannover,-germany",, 9
2014-10-10,"sternschanze,-hamburg, germany", 32, 23
2014-10-10,"berlin,-germany", , 27
2014-10-10,munich, , 24
2014-10-11,"hannover,-germany",, 16
2014-10-11,"sternschanze,-hamburg, germany", 50, 22
2014-10-11,"potsdam-zentrum,-germany", , 24
2014-10-11,"berlin,-germany", , 38
2014-10-11,"dresden-bergstraße,-germany", , 28
2014-10-11,"stuttgart-bad-cannstatt, germany", , 23
2014-10-11,munich, , 31
2014-10-12,munich, , 21
2014-10-12,"dresden-bergstraße,-germany", , 11
2014-10-12,"berlin,-germany", , 27
2014-10-12,"sternschanze,-hamburg, germany", 59, 20
2014-10-12,"stuttgart-bad-cannstatt, germany", , 21
2014-10-12,"potsdam-zentrum,-germany", , 17
2014-10-12,"hannover,-germany",, 13
2014-10-13,"hannover,-germany",, 14
2014-10-13,munich, , 19
2014-10-13,"berlin,-germany", , 37
2014-10-13,"stuttgart-bad-cannstatt, germany", , 28
2014-10-13,"dresden-bergstraße,-germany", , 20
2014-10-13,"sternschanze,-hamburg, germany", 47, 29
2014-10-13,"potsdam-zentrum,-germany", , 24
2014-10-14,"stuttgart-bad-cannstatt, germany", , 20
2014-10-14,"sternschanze,-hamburg, germany", 49, 22
2014-10-14,"dresden-bergstraße,-germany", , 20
2014-10-14,"hannover,-germany",, 11
2014-10-14,munich, , 17
2014-10-14,"potsdam-zentrum,-germany", , 16
2014-10-14,"berlin,-germany", , 32
2014-10-15,"stuttgart-bad-cannstatt, germany", , 27
2014-10-15,"berlin,-germany", , 31
2014-10-15,"sternschanze,-hamburg, germany", 49, 26
2014-10-15,"potsdam-zentrum,-germany", , 16
2014-10-15,"hannover,-germany",, 12
2014-10-15,munich, , 19
2014-10-15,"dresden-bergstraße,-germany", , 20
2014-10-16,"berlin,-germany", , 33
2014-10-16,"hannover,-germany",, 14
